"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_deletion.feature: Delete an existing booking successfully","185","test_delete_an_existing_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","140","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/authentication/authentication.feature: Generate authentication token with valid credentials","133","test_generate_authentication_token_with_valid_credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth_steps.py","",""
"","118","Verify delete is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","157","Verify booking list entries contain booking IDs","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","117","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","156","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","45","Verify PATCH changes only selected booking fields","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"
Verify that a new booking can be created successfully.
","110","test_create_booking[firstname_John]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"
Verify that a newly created booking can be retrieved
using the dynamically generated booking ID.
","155","test_create_and_get_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/authentication/authentication.feature: Reject invalid authentication credentials","116","test_reject_invalid_authentication_credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth_steps.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_update.feature: Update an existing booking successfully","154","test_update_an_existing_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","129","Verify booking creation boundary values","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_retrieval.feature: Retrieve a newly created booking successfully","122","test_retrieve_a_newly_created_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","105","test_create_bookings_with_different_first_names[David]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","108","Verify authentication rejects invalid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","135","Verify booking creation boundary values","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","99","Verify authentication rejects invalid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","111","test_create_booking_invalid_payload[missing_required_fields]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","98","Verify GET booking with invalid booking ID","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"
Verify that an existing booking can be deleted successfully.
","97","test_delete_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","100","Verify GET booking with invalid booking ID","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","126","test_create_bookings_with_different_first_names[Michael]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"
Verify that a new booking can be created successfully.
","150","test_create_booking[firstname_Michael]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","108","test_create_booking_invalid_payload[invalid_price_type]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","101","test_create_bookings_with_different_first_names[John]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","98","Generate authentication token with valid credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth.py","",""
